有價證券代號及名稱,國際證券辨識號碼(ISIN Code),公開發行日,產業別,CFICode,備註
1111　欣欣水泥,TW0001111003,1982/11/24,水泥工業,ESVUFR,
1237　台糖公司,TW0001237006,1950/09/01,食品工業,ESVUFR,
1242　新東陽,TW0001242006,1991/10/28,食品工業,ESVUFR,
1246　中聯油脂,TW0001246007,1997/05/31,食品工業,ESVUFR,
1267　京華堂,TW0001267003,2015/01/19,食品工業,ESVUFR,
1328　中油,TW0001328003,1997/12/24,塑膠工業,ESVUFR,
1408　中紡,TW0001408003,1973/05/31,紡織纖維,ESVUFR,
1550　台全電機,TW0001550002,1996/12/16,電機機械,ESVUFR,
1557　金豐機器,TW0001557007,1999/07/07,電機機械,ESVUFR,
1585　鎧鉅,TW0001585008,2007/04/03,電子零組件業,ESVUFR,
1592　英瑞-KY,KYG316231045,2014/10/16,汽車工業,ESVUFR,
1602　太電,TW0001602001,1963/08/15,電器電纜,ESVUFR,
1613　台一,TW0001613008,1995/10/20,電器電纜,ESVUFR,
1619　大展電線,TW0001619005,1991/03/28,電器電纜,ESVUFR,
1715　萬洲,TW0001715001,1984/09/22,塑膠工業,ESVUFR,
1716　永信藥品,TW0001716009,1989/04/01,生技醫療業,ESVUFR,
1739　欣雲天然,TW0001739001,1991/05/20,化學工業,ESVUFR,
1740　欣桃天然,TW0001740009,1991/01/10,化學工業,ESVUFR,
1745　欣嘉公司,TW0001745008,1993/11/15,,ESVUFR,
1763　奇美實業,TW0001763001,1983/01/07,化學工業,ESVUFR,
1764　長春石油,TW0001764009,1981/11/01,化學工業,ESVUFR,
1765　長春人造,TW0001765006,1981/07/15,化學工業,ESVUFR,
1766　大連化工,TW0001766004,1982/10/04,化學工業,ESVUFR,
1767　陽瓦,TW0001767002,1983/12/30,,ESVUFR,
1769　欣中公司,TW0001769008,1986/08/25,化學工業,ESVUFR,
1770　信東生技,TW0001770006,1987/03/14,生技醫療業,ESVUFR,
1775　大東樹脂,TW0001775005,1990/12/29,化學工業,ESVUFR,
1819　豐鼎,TW0001819001,2015/04/20,建材營造業,ESVUFR,
2041　燁茂實業,TW0002041001,1991/05/01,鋼鐵工業,ESVUFR,
2048　中龍鋼鐵,TW0002048006,1995/11/27,鋼鐵工業,ESVUFR,
2056　璋釔,TW0002056009,1999/05/25,鋼鐵工業,ESVUFR,
2068　優頻科技材料,TW0002068004,2013/12/30,鋼鐵工業,ESVUFR,
2215　匯豐汽車,TW0002215001,1994/09/12,汽車工業,ESVUFR,
2218　高都汽車,TW0002218005,1997/07/16,汽車工業,ESVUFR,
2219　鍾慶科技,TW0002219003,1997/10/30,汽車工業,ESVUFR,
2220　南都汽車,TW0002220001,1997/11/22,汽車工業,ESVUFR,
2222　桃苗汽車,TW0002222007,1998/07/18,汽車工業,ESVUFR,
2225　國都汽車,TW0002225000,1999/07/06,汽車工業,ESVUFR,
2226　中部汽車,TW0002226008,1998/05/16,汽車工業,ESVUFR,
2246　凱勝綠能,TW0002246006,2017/01/13,電機機械,ESVUFR,
2364A　倫甲特,TW0002364A06,1990/12/15,電子工業,EPNRCR,
2384　勝華,TW0002384005,1998/12/19,光電業,ESVUFR,
2443　昶虹,TW0002443009,2001/01/03,其他業,ESVUFR,
2557　泛亞工程,TW0002557006,1992/11/11,建材營造業,ESVUFR,
2568　世正開發,TW0002568003,1996/05/14,建材營造業,ESVUFR,
2579　鈺通營造,TW0002579000,1998/09/25,建材營造業,ESVUFR,
2599　樂揚,TW0002599008,2008/04/28,建材營造業,ESVUFR,
2619　新竹物流,TW0002619004,1985/08/16,航運業,ESVUFR,
2621　立榮航空,TW0002621000,1991/07/25,航運業,ESVUFR,
2711　凱撒飯店,TW0002711009,1995/11/16,觀光餐旅,ESVUFR,
2721　楷捷-KY,KYG521031016,2009/12/17,觀光餐旅,ESVUFR,
2738　曼哈頓-KY,KYG5793A1004,2015/03/12,觀光餐旅,ESVUFR,
2759　咖碼,TW0002759008,2020/12/31,觀光餐旅,ESVUFR,
2807　渣打銀行,TW0002807005,1982/03/17,金融保險業,ESVUFR,
2809　京城銀,TW0002809001,1982/03/03,金融保險業,ESVUFR,
2823　凱基人壽,TW0002823002,1995/02/08,金融保險業,ESVUFR,
2833　台壽保,TW0002833001,1997/10/13,金融保險業,ESVUFR,
2837　凱基銀行,TW0002837002,1998/06/29,金融保險業,ESVUFR,
2848　華南保,TW0002848009,1991/11/20,金融保險業,ESVUFR,
2858　中租迪和,TW0002858008,2011/07/21,金融保險業,ESVUFR,
2862　光華證券投資,TW0002862000,1992/06/30,金融保險業,ESVUFR,
2863　泰安產物,TW0002863008,1992/09/23,金融保險業,ESVUFR,
2872　台灣票券,TW0002872009,1996/09/10,金融保險業,ESVUFR,
2873　大中票券,TW0002873007,1996/09/12,金融保險業,ESVUFR,
2874　萬通票券,TW0002874005,1996/10/04,金融保險業,ESVUFR,
2876　宏泰人壽,TW0002876000,1997/05/02,金融保險業,ESVUFR,
