有價證券代號及名稱,國際證券辨識號碼(ISIN Code),發行日,到期日,利率值,市場別,產業別,CFICode,備註
轉換公司債
11011　台泥一永,TW0001101103,2024/12/10,2029/12/10,0.000000,上櫃,,DCZUDR,
12561　鮮活果汁一KY,TW0001256105,2025/10/08,2028/10/08,0.000000,上櫃,,DCZUDR,
13166　上曜六,TW0001316602,2024/12/27,2027/12/27,0.000000,上櫃,,DCZSDR,
13382　廣華二KY,TW0001338200,2023/12/01,2028/12/01,0.000000,上櫃,,DCZUDR,
14363　華友聯三,TW0001436301,2024/08/27,2027/08/27,0.000000,上櫃,,DCZUDR,
14364　華友聯四,TW0001436400,2025/03/18,2028/03/18,0.000000,上櫃,,DCZUDR,
14381　三地開發一,TW0001438109,2024/12/19,2029/12/19,0.000000,上櫃,,DCZSDR,
14664　聚隆四,TW0001466407,2025/06/20,2028/06/20,0.000000,上櫃,,DCZSGR,
14722　三洋實業二,TW0001472207,2025/05/29,2028/05/29,0.000000,上櫃,,DCZSDR,
14723　三洋實業三,TW0001472306,2025/06/17,2028/06/17,0.000000,上櫃,,DCZUDR,
14743　弘裕三,TW0001474302,2025/03/31,2028/03/31,0.000000,上櫃,,DCZUGR,
15142　亞力二,TW0001514206,2025/01/13,2030/01/13,0.000000,上櫃,,DCZUDR,
15261　日馳一,TW0001526101,2023/09/19,2026/09/19,0.000000,上櫃,,DCZUGR,
15364　和大四,TW0001536407,2024/08/12,2027/08/12,0.000000,上櫃,,DCZUDR,
15601　中砂一,TW0001560100,2024/06/24,2029/06/24,0.000000,上櫃,,DCZUDR,
15864　和勤四,TW0001586402,2023/08/30,2026/08/30,0.000000,上櫃,,DCZSGR,
15865　和勤五,TW0001586501,2023/08/31,2026/08/31,0.000000,上櫃,,DCZUGR,
15894　永冠四KY,TW0001589406,2023/02/20,2028/02/20,0.000000,上櫃,,DCZUDR,
15952　川寶二,TW0001595205,2024/09/02,2029/09/02,0.000000,上櫃,,DCZUDR,
15984　岱宇四,TW0001598407,2025/03/03,2028/03/03,0.000000,上櫃,,DCZUDR,
16095　大亞五,TW0001609501,2024/09/30,2029/09/30,0.000000,上櫃,,DCZUDR,
17813　合世三,TW0001781300,2024/09/24,2027/09/24,0.000000,上櫃,,DCZSGR,
17863　科妍三,TW0001786309,2025/08/01,2028/08/01,0.000000,上櫃,,DCZUDR,
19094　榮成四,TW0001909406,2021/12/20,2026/12/20,0.000000,上櫃,,DCZUDR,
20344　允強四,TW0002034402,2024/10/02,2029/10/02,0.000000,上櫃,,DCZUDR,
20662　世德二,TW0002066206,2023/07/31,2026/07/31,0.000000,上櫃,,DCZUGR,
21043　國際中橡三,TW0002104304,2023/10/13,2028/10/13,0.000000,上櫃,,DCZUDR,
22013　裕隆三,TW0002201308,2023/05/25,2028/05/25,0.000000,上櫃,,DCZUDR,
22283　劍麟三,TW0002228301,2024/08/29,2027/08/29,0.000000,上櫃,,DCZUGR,
