有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
電子期貨
EXFC7　電子期貨2027/03,TW000EXFC707,2026/03/19,期貨及選擇權,,FFICSX,
EXFE6　電子期貨2026/05,TW000EXFE604,2026/02/24,期貨及選擇權,,FFICSX,
EXFF6　電子期貨2026/06,TW000EXFF601,2025/06/19,期貨及選擇權,,FFICSX,
EXFG6　電子期貨2026/07,TW000EXFG609,2026/04/16,期貨及選擇權,,FFICSX,
EXFI6　電子期貨2026/09,TW000EXFI605,2025/09/18,期貨及選擇權,,FFICSX,
EXFL6　電子期貨2026/12,TW000EXFL609,2025/12/18,期貨及選擇權,,FFICSX,
ZEFC7　小型電子期貨2027/03,TW000ZEFC702,2026/03/19,期貨及選擇權,,FFICSX,
ZEFE6　小型電子期貨2026/05,TW000ZEFE609,2026/02/24,期貨及選擇權,,FFICSX,
ZEFF6　小型電子期貨2026/06,TW000ZEFF606,2025/06/19,期貨及選擇權,,FFICSX,
ZEFG6　小型電子期貨2026/07,TW000ZEFG604,2026/04/16,期貨及選擇權,,FFICSX,
ZEFI6　小型電子期貨2026/09,TW000ZEFI600,2025/09/18,期貨及選擇權,,FFICSX,
ZEFL6　小型電子期貨2026/12,TW000ZEFL604,2025/12/18,期貨及選擇權,,FFICSX,
金融期貨
FXFC7　金融期貨2027/03,TW000FXFC704,2026/03/19,期貨及選擇權,,FFICSX,
FXFE6　金融期貨2026/05,TW000FXFE601,2026/02/24,期貨及選擇權,,FFICSX,
FXFF6　金融期貨2026/06,TW000FXFF608,2025/06/19,期貨及選擇權,,FFICSX,
FXFG6　金融期貨2026/07,TW000FXFG606,2026/04/16,期貨及選擇權,,FFICSX,
FXFI6　金融期貨2026/09,TW000FXFI602,2025/09/18,期貨及選擇權,,FFICSX,
FXFL6　金融期貨2026/12,TW000FXFL606,2025/12/18,期貨及選擇權,,FFICSX,
ZFFC7　小型金融期貨2027/03,TW000ZFFC709,2026/03/19,期貨及選擇權,,FFICSX,
ZFFE6　小型金融期貨2026/05,TW000ZFFE606,2026/02/24,期貨及選擇權,,FFICSX,
ZFFF6　小型金融期貨2026/06,TW000ZFFF603,2025/06/19,期貨及選擇權,,FFICSX,
ZFFG6　小型金融期貨2026/07,TW000ZFFG601,2026/04/16,期貨及選擇權,,FFICSX,
ZFFI6　小型金融期貨2026/09,TW000ZFFI607,2025/09/18,期貨及選擇權,,FFICSX,
ZFFL6　小型金融期貨2026/12,TW000ZFFL601,2025/12/18,期貨及選擇權,,FFICSX,
航運期貨
SHFC7　航運期貨2027/03,TW000SHFC700,2026/03/19,期貨及選擇權,,FFICSX,
SHFE6　航運期貨2026/05,TW000SHFE607,2026/02/24,期貨及選擇權,,FFICSX,
SHFF6　航運期貨2026/06,TW000SHFF604,2025/06/19,期貨及選擇權,,FFICSX,
SHFG6　航運期貨2026/07,TW000SHFG602,2026/04/16,期貨及選擇權,,FFICSX,
SHFI6　航運期貨2026/09,TW000SHFI608,2025/09/18,期貨及選擇權,,FFICSX,
SHFL6　航運期貨2026/12,TW000SHFL602,2025/12/18,期貨及選擇權,,FFICSX,
小型臺指期貨
MX2E6　小型臺指期貨2026/05,TW000MX2E608,2026/04/29,期貨及選擇權,,FFICSX,
MXFC7　小型臺指期貨2027/03,TW000MXFC700,2026/03/19,期貨及選擇權,,FFICSX,
