有價證券代號及名稱,國際證券辨識號碼(ISIN Code),登錄日,市場別,CFICode,備註
普通股
7401　格外農品,TW0007401B17,2025/12/23,創櫃板,ESVUFR,
7403　紐因科技,TW0007403B15,2025/12/29,創櫃板,ESVUFR,
7405　騰雲運算,TW0007405B13,2025/12/24,創櫃板,ESVUFR,
7406　宇萌,TW0007406001,2014/03/31,創櫃板,ESVUFR,
7407　京冠,TW0007407009,2014/03/14,創櫃板,ESVUFR,
7408　易得雲端,TW0007408B10,2025/12/31,創櫃板,ESVUFR,
7410　萬寶隆空間設計,TW0007410B16,2025/12/30,創櫃板,ESVUFR,
7411　澤聖擺渡,TW0007411B15,2026/04/10,創櫃板,ESVUFR,
7412　生態綠,TW0007412009,2014/03/21,創櫃板,ESVUFR,
7413　多扶,TW0007413007,2014/04/18,創櫃板,ESVUFR,
7416　天工精密,TW0007416B10,2026/04/30,創櫃板,ESVUFR,
7425　膳安,TW0007425001,2014/06/30,創櫃板,ESVUFR,
7428　戴維,TW0007428005,2014/06/13,創櫃板,ESVUFR,
7449　元皓,TW0007449001,2014/12/26,創櫃板,ESVUFR,
7450　那米亞,TW0007450009,2014/12/15,創櫃板,ESVUFR,
7451　頂豪,TW0007451007,2014/12/31,創櫃板,ESVUFR,
7457　月太湛,TW0007457004,2014/12/29,創櫃板,ESVUFR,
7485　福倫,TW0007485B16,2015/12/15,創櫃板,ESVUFR,
7487　同仁生,TW0007487B14,2015/12/28,創櫃板,ESVUFR,
7490　樂群,TW0007490B19,2015/12/30,創櫃板,ESVUFR,
7491　車之輪,TW0007491B18,2016/01/06,創櫃板,ESVUFR,
7492　一等一,TW0007492B17,2016/01/25,創櫃板,ESVUFR,
7503　自由系統,TW0007503B14,2016/09/08,創櫃板,ESVUFR,
7505　立達科,TW0007505B12,2016/09/28,創櫃板,ESVUFR,
7518　宏泰工,TW0007518B17,2017/06/19,創櫃板,ESVUFR,
7519　歐思佛生技,TW0007519B16,2017/06/16,創櫃板,ESVUFR,
7520　沛美,TW0007520B13,2017/06/20,創櫃板,ESVUFR,
7521　千才生醫,TW0007521B12,2017/05/25,創櫃板,ESVUFR,
7525　綠品生技,TW0007525B18,2017/09/20,創櫃板,ESVUFR,
7529　台鼎,TW0007529B14,2017/09/01,創櫃板,ESVUFR,
7532　華圓設計,TW0007532B19,2017/10/16,創櫃板,ESVUFR,
7534　安博森,TW0007534B17,2017/10/24,創櫃板,ESVUFR,
